Open Time,Position,Symbol,Type,Volume,Open Price,S / L,T / P,Close Time,Close Price,Commission,Swap,Profit
2022.09.20 01:00:19,58679264,USDCAD,buy,0.2,1.32529,1.32479,1.32629,2022.09.20 05:33:02,1.32479,0,0,-7.55
2022.09.20 01:15:57,58679761,USDJPY,buy,3,143.225,143.2,143.275,2022.09.20 01:53:55,143.2,0,0,-52.37
2022.09.20 04:46:43,58685246,AUDUSD,buy,1,0.67185,0.67128,0.67299,2022.09.20 05:11:37,0.67127,0,0,-58
2022.09.20 05:00:20,58685361,GBPJPY,buy,1.8,163.536,163.451,163.706,2022.09.20 05:07:12,163.449,0,0,-109.32
2022.09.20 07:14:51,58687236,EURGBP,sell,1.5,0.87679,0.87724,0.87619,2022.09.20 07:44:23,0.87724,0,0,-77.11
2022.09.21 05:22:44,58966435,EURUSD,buy,0.5,0.99684,0.99384,0.99884,2022.09.21 09:01:13,0.99377,0,0,-153.5
2022.09.21 05:28:14,58966467,EURGBP,buy,2,0.87602,0.87512,0.87617,2022.09.21 08:58:50,0.87508,0,0,-213.73
2022.09.21 05:55:52,58966675,USDCAD,buy,1,1.33662,1.33382,1.33732,2022.09.21 07:31:25,1.33733,0,0,53.09
2022.09.21 05:58:18,58966685,USDCHF,buy,2,0.96405,0.96265,0.96445,2022.09.21 06:18:30,0.96446,0,0,85.02
2022.09.21 06:13:12,58966794,USDMXN,buy,1,20.01022,19.95022,20.04022,2022.09.21 21:00:39,20.04048,0,0,150.99
2022.09.21 21:14:28,59708594,EURGBP,buy,1.1,0.87317,0.87277,0.87357,2022.09.21 21:26:29,0.87274,0,0,-53.41
2022.09.21 22:09:28,59745400,USDTRY,buy,3,18.33222,,,2022.09.22 02:48:44,18.33375,0,-251.95,25.04
2022.09.22 07:28:07,59760390,EURAUD,buy,1.2,1.48883,1.48753,1.48948,2022.09.22 08:20:14,1.48948,0,0,51.46
2022.09.22 07:31:13,59760417,EURUSD,buy,3.5,0.98255,0.9823,0.98295,2022.09.22 07:46:03,0.9823,0,0,-87.5
2022.09.22 07:34:12,59760441,EURGBP,buy,4,0.87418,0.87383,0.87468,2022.09.22 09:08:38,0.87468,0,0,224.71
2022.09.22 17:11:37,59795810,USDCAD,buy,1.5,1.35023,1.34933,1.35038,2022.09.22 17:13:20,1.34933,0,0,-100.05
2022.09.23 01:01:41,59811809,USDMXN,buy,0.75,19.95154,19.89154,19.98154,2022.09.23 10:14:05,19.98184,0,0,113.73
2022.09.23 01:05:05,59811830,USDCAD,buy,4,1.34873,1.34823,1.34948,2022.09.23 01:57:06,1.34821,0,0,-154.28
2022.09.23 06:02:33,59814637,EURGBP,sell,0.3,0.87487,0.87682,0.87097,2022.09.23 12:43:09,0.87683,0,0,-65.37
2022.09.23 06:04:50,59814666,EURUSD,buy,1,0.98306,0.98206,0.98506,2022.09.23 06:55:41,0.98206,0,0,-100
2022.09.23 06:24:56,59814958,EURAUD,sell,1,1.48358,1.48565,1.47944,2022.09.23 07:15:18,1.48565,0,0,-136.87
2022.09.23 15:48:30,59849212,EURGBP,buy,1,0.88073,0.87984,0.88251,2022.09.23 16:20:59,0.88251,0,0,197.04
2022.09.23 16:04:07,59851942,USDMXN,sell,0.5,20.12911,20.14776,20.09181,2022.09.23 16:38:33,20.14806,0,0,-47.03
2022.09.23 16:44:50,59859562,USDCAD,sell,1,1.35551,1.35815,1.35287,2022.09.23 17:50:09,1.35816,0,0,-195.12
2022.09.23 19:50:08,59888493,USDMXN,sell,1,20.19581,20.23399,20.15763,2022.09.23 20:28:56,20.23401,0,0,-188.79
2022.09.23 20:09:13,59890767,EURAUD,buy,1,1.4855,1.48478,1.48694,2022.09.23 20:35:11,1.48478,0,0,-47.05
2022.09.23 20:13:56,59890902,GBPUSD,buy,0.35,1.08973,1.08823,1.09273,2022.09.23 20:38:56,1.08819,0,0,-53.9
2022.09.23 21:52:35,59902245,USDMXN,buy,0.04,20.23792,20.1754,20.26918,2022.09.23 22:44:31,20.1733,0,0,-12.81
2022.09.23 21:55:29,59902330,GBPUSD,buy,1,1.08484,1.08414,1.08624,2022.09.23 21:58:10,1.08411,0,0,-73
2022.09.23 21:57:26,59902413,USDCAD,buy,1.5,1.36104,1.36059,1.36194,2022.09.23 22:00:35,1.36058,0,0,-50.71
2022.09.23 22:10:36,59903386,GBPUSD,sell,0.5,1.08618,1.08723,1.08408,2022.09.23 22:43:10,1.08724,0,0,-53
2022.09.26 15:15:14,59976803,USDHUF,sell,0.25,423.275,424.025,421.775,2022.09.26 17:46:03,424.025,0,0,-44.22
2022.09.26 15:23:03,59977521,GBPNZD,sell,0.1,1.88824,1.89783,1.86906,2022.09.26 15:45:11,1.89797,0,0,-55.69
2022.09.26 15:31:35,59978183,USDCAD,buy,1,1.36678,1.36604,1.36826,2022.09.26 15:36:17,1.36601,0,0,-56.37
2022.09.26 17:25:26,60102516,EURCAD,sell,1,1.32007,1.32082,1.31857,2022.09.26 18:03:39,1.32082,0,0,-54.82
2022.09.26 17:49:28,60126168,USDCAD,sell,1,1.36814,1.36917,1.36608,2022.09.26 18:10:39,1.36917,0,0,-75.23
2022.09.26 17:52:42,60126881,AUDUSD,buy,1,0.64939,0.64804,0.65209,2022.09.26 18:31:53,0.64804,0,0,-135
