Open Time,Position,Symbol,Type,Volume,Open Price,S / L,T / P,Close Time,Close Price,Commission,Swap,Profit
2022.09.20 04:12:43,58683989,EURUSD,buy,1.5,1.00381,1.00306,1.00531,2022.09.20 04:23:16,1.00306,0,0,-112.5
2022.09.20 04:50:24,58685271,USDMXN,buy,0.38,19.94222,19.89222,20.00222,2022.09.20 06:30:57,19.90362,0,0,-73.7
2022.09.20 16:04:35,58709043,USDCAD,sell,1.1,1.33133,1.33431,1.32873,2022.09.20 17:01:44,1.33434,0,0,-248.14
2022.09.20 16:38:56,58711329,GOLD,buy,0.3,1661.74,1658.43,1665.74,2022.09.20 16:57:40,1665.75,0,0,120.3
2022.09.20 17:17:29,58714432,EURUSD,sell,1,0.99861,0.99921,0.99761,2022.09.20 17:40:50,0.99761,0,0,100
2022.09.20 18:37:15,58745984,EURUSD,buy,0.5,0.99858,0.99808,0.99908,2022.09.20 18:43:30,0.99908,0,0,25
2022.09.20 18:41:11,58746101,USDMXN,sell,2.5,20.00338,20.02396,19.97535,2022.09.20 19:37:52,20.02397,0,0,-257.07
2022.09.20 23:18:34,58962308,GOLD,sell,0.5,1664.68,1665.68,1663.68,2022.09.21 02:02:52,1665.7,0,3.53,-51
2022.09.21 02:47:03,58965048,GBPUSD,buy,1,1.13802,1.13727,1.13852,2022.09.21 03:42:50,1.13727,0,0,-75
2022.09.21 02:51:10,58965070,GOLD,sell,1,1666,1666.75,1664.5,2022.09.21 03:00:04,1666.79,0,0,-79
2022.09.21 09:06:39,58968992,GOLD,sell,1,1667.86,1669.11,1665.36,2022.09.21 09:13:14,1669.11,0,0,-125
2022.09.21 09:12:55,58969133,USDJPY,sell,1.05,143.839,143.929,143.689,2022.09.21 09:20:20,143.687,0,0,111.07
2022.09.21 19:04:47,59571520,EURUSD,buy,0.3,0.98756,0.98356,0.99348,2022.09.21 21:00:39,0.98355,0,0,-120.3
2022.09.21 22:46:00,59749692,USDMXN,buy,3,20.03121,19.98198,20.0316,2022.09.22 02:17:03,20.03457,0,-84.96,50.31
2022.09.21 22:50:19,59750095,EURUSD,sell,1.2,0.98486,0.9855,0.9829,2022.09.22 03:03:33,0.98287,0,3.45,238.8
2022.09.22 05:12:13,59758385,GBPSEK,sell,0.4,12.47967,12.52167,12.42825,2022.09.22 14:00:36,12.42822,0,0,186.96
2022.09.22 23:03:20,59810069,USDJPY,sell,0.5,142.351,142.783,141.49,2022.09.23 11:52:13,142.784,0,-4.34,-151.63
2022.09.22 23:27:22,59810272,EURUSD,sell,0.5,0.98343,0.98443,0.98143,2022.09.23 03:46:05,0.98447,0,1.44,-52
2022.09.23 03:56:51,59813046,EURUSD,buy,0.4,0.98475,0.98133,0.99063,2022.09.23 09:45:57,0.9813,0,0,-138
2022.09.23 19:48:08,59888444,EURUSD,sell,0.4,0.97136,0.97286,0.96886,2022.09.23 20:39:10,0.9688,0,0,102.4
2022.09.23 21:16:09,59895614,WTI,sell,0.3,78.39,79.192,77.972,2022.09.23 23:30:04,79.199,0,0,-242.7
2022.09.23 21:23:40,59896263,NAT.GAS,sell,0.45,6.98,7.12,6.8,2022.09.26 03:02:34,7.12,0,19.05,-630
2022.09.26 08:05:35,59943165,EURUSD,buy,3,0.96334,0.96254,0.96439,2022.09.26 08:27:14,0.96254,0,0,-240
2022.09.26 15:30:21,59978116,USDCAD,sell,3,1.36648,1.36788,1.36437,2022.09.26 15:47:39,1.36435,0,0,468.35
2022.09.26 16:35:42,59991747,GBPSEK,buy,2,12.23637,12.19637,12.25237,2022.09.26 16:51:40,12.19569,0,0,-723.06
2022.09.26 17:10:34,60086590,EURUSD,sell,2,0.96555,0.96646,0.96373,2022.09.26 17:16:16,0.96646,0,0,-182
2022.09.26 17:18:42,60094729,GBPUSD,buy,0.5,1.08116,1.07886,1.08516,2022.09.26 17:47:27,1.07878,0,0,-119
2022.09.26 18:09:20,60128725,USDJPY,sell,2,144.281,144.371,144.113,2022.09.26 18:22:24,144.371,0,0,-124.68
2022.09.27 03:11:36,60152016,EURCAD,sell,2,1.31921,1.31971,1.31821,2022.09.27 03:15:34,1.31971,0,0,-73.02
