Open Time,Position,Symbol,Type,Volume,Open Price,S / L,T / P,Close Time,Close Price,Commission,Swap,Profit
2022.09.20 21:14:12,58911749,EURUSD,buy,1,0.99681,,,2022.09.22 02:50:30,0.98331,0,-13.14,-1350
2022.09.21 01:11:30,58911749,BITCOIN,buy,1,18943.34,,,2022.09.26 16:36:16,19166.92,0,-52.75,223.58
2022.09.21 04:19:33,58911749,ETHEREUM,buy,1,1334.2,,,2022.09.26 22:17:58,1327.18,0,-3.64,-7.02
2022.09.22 02:52:32,58911749,GOLD,buy,12,1653.55,,,2022.09.28 09:16:25,1621.5,0,-769.31,-38458
2022.09.22 03:27:27,58911749,SOLANA,buy,5,30.802,,,2022.09.23 19:13:52,31.418,0,-0.09,3.08
2022.09.22 20:05:03,58911749,WTI,buy,10,83.46,,,2022.09.23 16:50:14,78.915,0,115,-45450
2022.09.22 20:07:19,58911749,SILVER,sell,10,19.572,,,2022.09.23 19:11:05,18.857,0,0.65,35750
2022.09.22 23:47:17,58911749,USDCAD,sell,50,1.34861,,,2022.09.26 15:19:58,1.3695,0,-222.18,-76268.71
2022.09.23 19:15:46,58911749,SILVER,buy,5,18.87,,,2022.10.07 15:23:06,20.653,0,-783.96,44575
2022.09.23 19:17:22,58911749,WTI,buy,10,78.507,,,2022.09.26 16:36:02,79.357,0,114.9,8500
2022.09.26 05:26:47,58911749,#USNDAQ100,buy,1,11295.55,,,2022.09.26 16:36:20,11366.05,0,0,70.5
2022.09.26 05:28:03,58911749,#Euro50,buy,1,3350.65,,,2022.10.18 16:31:44,3506.55,0,-5.96,153.83
2022.09.26 22:23:57,58911749,BITCOIN,buy,0.05,19194.18,,,2022.10.18 16:31:47,19640.65,0,-11.84,22.32
2022.09.26 22:26:13,58911749,USDCAD,sell,1,1.37418,,,2022.10.18 16:31:39,1.37157,0,-41.26,190.29
2022.10.07 15:35:44,58911749,EURUSD,buy,60,0.97617,,,2022.10.10 11:18:45,0.96875,0,-1483.86,-44520
